transaction_id,transaction_date,customer_id,product,category,quantity,price,payment_method,city
TXN100057,2024-01-11,CUST146,Lamp,Furniture,,,Cash,Hyderabad
TXN100058,2024-01-26,CUST76,Books,Education,2.0,,UPI,Mumbai
TXN100059,2024-03-21,CUST295,Desk,Furniture,1.0,15000.0,UPI,Delhi
TXN100060,2024-01-01,CUST458,Wallet,Accessories,2.0,1200.0,UPI,Delhi
TXN100061,2024-01-16,CUST234,Office Chair,Furniture,,500.0,UPI,Delhi
TXN100062,2024-01-21,CUST381,Notebook,Education,,65000.0,Card,Delhi
TXN100063,2024-01-31,CUST141,Books,Education,3.0,65000.0,Card,Mumbai
TXN100064,2024-03-10,CUST42,Books,Education,3.0,2500.0,UPI,Pune
TXN100065,2024-02-23,CUST209,Desk,Furniture,2.0,,Card,Hyderabad
TXN100066,2024-02-19,CUST464,Wallet,Accessories,1.0,1200.0,Cash,Mumbai
TXN100067,2024-02-19,CUST437,Wallet,Accessories,1.0,2500.0,Card,Hyderabad
TXN100068,2024-01-04,CUST200,Desk,Furniture,2.0,2500.0,Card,Delhi
TXN100069,2024-02-20,CUST304,Desk,Furniture,2.0,65000.0,Cash,Mumbai
TXN100070,2024-02-03,CUST195,Monitor,Electronics,2.0,15000.0,Card,Pune
TXN100071,2024-02-23,CUST130,Wallet,Accessories,3.0,15000.0,UPI,Delhi
TXN100072,2024-01-09,CUST400,Headphones,Electronics,1.0,2500.0,Cash,Mumbai
TXN100073,2024-01-31,CUST65,Mouse,Electronics,2.0,500.0,Card,Mumbai
TXN100074,2024-03-18,CUST494,Desk,Furniture,3.0,2500.0,Cash,Mumbai
TXN100075,2024-02-09,CUST295,Desk,Furniture,1.0,65000.0,Cash,Delhi
TXN100076,2024-03-21,CUST125,Backpack,Accessories,1.0,65000.0,UPI,Bangalore
TXN100077,2024-03-25,CUST190,Headphones,Electronics,1.0,2500.0,UPI,Hyderabad
TXN100078,2024-02-16,CUST326,Books,Education,,15000.0,Card,Pune
TXN100079,2024-03-09,CUST397,Backpack,Accessories,3.0,65000.0,Card,Delhi
TXN100080,2024-01-12,CUST143,Wallet,Accessories,3.0,1200.0,Card,Pune
TXN100081,2024-02-11,CUST94,Wallet,Accessories,3.0,500.0,Card,Pune
TXN100082,2024-03-30,CUST451,Notebook,Education,3.0,2500.0,Card,Hyderabad
TXN100083,2024-02-22,CUST251,Headphones,Electronics,2.0,500.0,Cash,Pune
TXN100084,2024-01-29,CUST208,Wallet,Accessories,,500.0,Cash,Pune
TXN100085,2024-02-24,CUST382,Notebook,Education,,65000.0,Cash,Bangalore
TXN100086,2024-01-16,CUST370,Notebook,Education,3.0,2500.0,UPI,Bangalore
TXN100087,2024-03-02,CUST142,Headphones,Electronics,2.0,1200.0,Cash,Hyderabad
TXN100088,2024-01-23,CUST155,Books,Education,2.0,2500.0,UPI,Hyderabad
TXN100089,2024-03-30,CUST484,Desk,Furniture,1.0,500.0,UPI,Delhi
TXN100090,2024-02-13,CUST95,Laptop,Electronics,3.0,15000.0,UPI,Bangalore
TXN100091,2024-03-14,CUST323,Backpack,Accessories,1.0,15000.0,Cash,Mumbai
TXN100092,2024-01-16,CUST286,Office Chair,Furniture,3.0,500.0,Card,Hyderabad
TXN100093,2024-02-08,CUST441,Lamp,Furniture,,15000.0,Cash,Delhi
TXN100094,2024-02-03,CUST339,Books,Education,1.0,1200.0,UPI,Pune
TXN100010,2024-02-27,CUST353,Office Chair,Furniture,1.0,1200.0,Cash,Delhi
TXN100096,2024-03-30,CUST441,Books,Education,2.0,2500.0,Card,Mumbai
TXN100097,2024-01-29,CUST332,Desk,Furniture,2.0,15000.0,UPI,Bangalore
TXN100098,2024-03-17,CUST384,Office Chair,Furniture,1.0,1200.0,Cash,Bangalore
TXN100099,2024-02-21,CUST483,Backpack,Accessories,,,Card,Hyderabad
TXN100100,2024-02-25,CUST377,Wallet,Accessories,1.0,65000.0,Card,Hyderabad
TXN100101,2024-03-14,CUST301,Books,Education,1.0,1200.0,UPI,Bangalore
TXN100102,2024-02-05,CUST93,Mouse,Electronics,,65000.0,Cash,Delhi
TXN100103,2024-02-11,CUST344,Backpack,Accessories,,2500.0,UPI,Pune
TXN100104,2024-02-21,CUST417,Notebook,Education,,2500.0,Cash,Mumbai
TXN100105,2024-02-21,CUST443,Backpack,Accessories,3.0,2500.0,Cash,Mumbai
TXN100106,2024-03-20,CUST388,Wallet,Accessories,1.0,1200.0,Card,Delhi
TXN100107,2024-02-06,CUST225,Mouse,Electronics,3.0,65000.0,Cash,Delhi
TXN100108,2024-03-11,CUST8,Laptop,Electronics,2.0,,Cash,Delhi
TXN100109,2024-03-23,CUST427,Mouse,Electronics,1.0,15000.0,UPI,Delhi
TXN100110,2024-02-01,CUST234,Notebook,Education,,15000.0,Cash,Pune
TXN100111,2024-02-23,CUST175,Backpack,Accessories,2.0,500.0,Cash,Bangalore
TXN100112,2024-03-25,CUST251,Keyboard,Electronics,3.0,65000.0,UPI,Delhi
TXN100113,2024-02-18,CUST234,Wallet,Accessories,3.0,65000.0,Card,Pune
TXN100114,2024-02-22,CUST23,Lamp,Furniture,,1200.0,Card,Delhi
TXN100115,2024-01-17,CUST258,Wallet,Accessories,2.0,15000.0,Cash,Bangalore
TXN100116,2024-01-02,CUST370,Monitor,Electronics,1.0,65000.0,UPI,Delhi
TXN100117,2024-03-29,CUST204,Office Chair,Furniture,,2500.0,Cash,Mumbai
TXN100118,2024-03-03,CUST447,Notebook,Education,3.0,,Cash,Mumbai
TXN100119,2024-02-25,CUST51,Mouse,Electronics,3.0,1200.0,Cash,Mumbai
TXN100120,2024-01-08,CUST151,Backpack,Accessories,3.0,500.0,Card,Bangalore
TXN100121,2024-03-28,CUST406,Backpack,Accessories,2.0,65000.0,UPI,Pune
TXN100122,2024-03-04,CUST468,Office Chair,Furniture,,65000.0,Cash,Pune
TXN100123,2024-01-02,CUST461,Desk,Furniture,3.0,15000.0,Card,Bangalore
TXN100124,2024-02-08,CUST328,Office Chair,Furniture,,2500.0,Card,Bangalore
TXN100125,2024-01-14,CUST122,Wallet,Accessories,2.0,15000.0,Card,Hyderabad
TXN100126,2024-03-25,CUST203,Notebook,Education,3.0,500.0,Card,Mumbai
TXN100127,2024-01-30,CUST311,Headphones,Electronics,,2500.0,Card,Pune
TXN100128,2024-03-25,CUST349,Lamp,Furniture,3.0,,UPI,Mumbai
TXN100129,2024-01-17,CUST47,Keyboard,Electronics,,500.0,Card,Bangalore
TXN100130,2024-02-16,CUST272,Backpack,Accessories,2.0,1200.0,Cash,Bangalore
TXN100131,2024-02-13,CUST412,Desk,Furniture,,2500.0,UPI,Delhi
TXN100132,2024-02-20,CUST496,Mouse,Electronics,2.0,,Cash,Bangalore
TXN100133,2024-02-28,CUST189,Monitor,Electronics,1.0,2500.0,Cash,Bangalore
TXN100134,2024-01-04,CUST318,Wallet,Accessories,1.0,,Cash,Bangalore
TXN100135,2024-03-30,CUST155,Lamp,Furniture,1.0,,Cash,Delhi
TXN100136,2024-03-04,CUST60,Mouse,Electronics,1.0,500.0,UPI,Pune
TXN100137,invalid_date,CUST485,Desk,Furniture,,2500.0,Cash,Delhi
TXN100138,2024-02-05,CUST17,Desk,Furniture,1.0,15000.0,Cash,Bangalore
TXN100139,2024-01-13,CUST352,Desk,Furniture,,1200.0,Card,Hyderabad
TXN100140,2024-01-16,CUST486,Books,Education,,2500.0,Card,Mumbai
TXN100141,2024-02-01,CUST65,Lamp,Furniture,1.0,500.0,Cash,Pune
TXN100142,2024-01-30,CUST169,Headphones,Electronics,2.0,65000.0,UPI,Hyderabad
TXN100143,2024-01-23,CUST57,Keyboard,Electronics,2.0,1200.0,Cash,Mumbai
TXN100144,2024-01-03,CUST90,Office Chair,Furniture,3.0,1200.0,Card,Mumbai
TXN100145,2024-01-09,CUST244,Lamp,Furniture,,65000.0,Card,Bangalore
TXN100146,2024-03-25,CUST267,Monitor,Electronics,2.0,65000.0,Card,Delhi
TXN100147,2024-01-14,CUST252,Laptop,Electronics,,15000.0,Cash,Delhi
TXN100148,2024-01-17,CUST141,Laptop,Electronics,3.0,65000.0,Cash,Hyderabad
TXN100149,2024-02-25,CUST51,Notebook,Education,3.0,15000.0,Cash,Mumbai
TXN100150,2024-02-28,CUST205,Desk,Furniture,,1200.0,Card,Mumbai
TXN100151,2024-01-20,CUST352,Notebook,Education,3.0,,Card,Mumbai
TXN100152,2024-02-17,CUST416,Laptop,Electronics,1.0,15000.0,UPI,Hyderabad
TXN100153,2024-02-15,CUST448,Headphones,Electronics,3.0,,Cash,Delhi
TXN100154,2024-03-05,CUST109,Keyboard,Electronics,3.0,2500.0,UPI,Delhi
TXN100155,2024-02-05,CUST294,Office Chair,Furniture,3.0,65000.0,UPI,Delhi
TXN100156,2024-03-30,CUST391,Headphones,Electronics,3.0,500.0,Card,Bangalore
TXN100157,2024-02-21,CUST36,Books,Education,2.0,1200.0,UPI,Mumbai
TXN100158,2024-02-13,CUST81,Headphones,Electronics,2.0,15000.0,Card,Bangalore
TXN100159,2024-03-20,CUST26,Books,Education,1.0,1200.0,Cash,Mumbai
TXN100160,2024-02-23,CUST140,Notebook,Education,,15000.0,UPI,Hyderabad
TXN100161,2024-03-27,CUST304,Keyboard,Electronics,,500.0,Card,Hyderabad
TXN100162,2024-01-08,CUST4,Books,Education,2.0,15000.0,UPI,Bangalore
TXN100163,2024-01-01,CUST255,Office Chair,Furniture,3.0,2500.0,Cash,Delhi
TXN100164,2024-03-05,CUST287,Office Chair,Furniture,,65000.0,Cash,Bangalore
TXN100010,2024-01-10,CUST442,Monitor,Electronics,1.0,15000.0,Card,Hyderabad
TXN100166,2024-01-03,CUST495,Wallet,Accessories,,2500.0,Card,Pune
TXN100167,2024-02-01,CUST224,Wallet,Accessories,1.0,15000.0,Cash,Delhi
TXN100168,2024-02-12,CUST399,Monitor,Electronics,3.0,,UPI,Mumbai
TXN100169,2024-03-23,CUST418,Headphones,Electronics,2.0,2500.0,UPI,Pune
TXN100170,2024-01-20,CUST390,Mouse,Electronics,3.0,1200.0,Cash,Mumbai
TXN100171,2024-03-15,CUST230,Lamp,Furniture,,15000.0,Cash,Hyderabad
TXN100172,2024-02-26,CUST324,Notebook,Education,2.0,15000.0,Card,Bangalore
TXN100173,2024-01-05,CUST30,Keyboard,Electronics,1.0,2500.0,Card,Bangalore
TXN100174,2024-01-06,CUST231,Laptop,Electronics,,15000.0,Cash,Pune
TXN100175,2024-02-13,CUST366,Notebook,Education,2.0,500.0,UPI,Hyderabad
TXN100176,2024-02-26,CUST269,Office Chair,Furniture,2.0,,Cash,Hyderabad
TXN100177,2024-02-13,CUST348,Desk,Furniture,3.0,2500.0,Cash,Mumbai
TXN100178,2024-02-19,CUST146,Books,Education,3.0,500.0,Card,Hyderabad
TXN100179,2024-02-14,CUST159,Desk,Furniture,1.0,65000.0,Cash,Delhi
TXN100180,2024-03-23,CUST406,Lamp,Furniture,1.0,2500.0,Card,Pune
TXN100181,2024-01-24,CUST487,Monitor,Electronics,3.0,500.0,UPI,Bangalore
TXN100182,2024-02-07,CUST433,Backpack,Accessories,2.0,1200.0,UPI,Hyderabad
TXN100183,2024-01-21,CUST93,Keyboard,Electronics,2.0,65000.0,Cash,Hyderabad
TXN100184,2024-03-27,CUST369,Lamp,Furniture,,500.0,UPI,Delhi
TXN100185,2024-03-01,CUST463,Notebook,Education,2.0,65000.0,UPI,Bangalore
TXN100186,2024-02-23,CUST495,Wallet,Accessories,3.0,15000.0,UPI,Pune
TXN100187,2024-02-17,CUST284,Desk,Furniture,1.0,,UPI,Hyderabad
TXN100188,2024-03-06,CUST76,Keyboard,Electronics,1.0,1200.0,Card,Mumbai
TXN100189,2024-02-20,CUST258,Desk,Furniture,3.0,500.0,Card,Pune
TXN100190,2024-01-13,CUST430,Backpack,Accessories,3.0,1200.0,Cash,Bangalore
TXN100191,2024-03-01,CUST357,Office Chair,Furniture,1.0,2500.0,UPI,Delhi
TXN100192,2024-01-20,CUST281,Backpack,Accessories,1.0,500.0,Cash,Hyderabad
TXN100193,2024-01-07,CUST123,Backpack,Accessories,3.0,1200.0,Card,Hyderabad
TXN100194,2024-01-03,CUST324,Backpack,Accessories,1.0,15000.0,Cash,Hyderabad
TXN100195,2024-03-19,CUST181,Lamp,Furniture,2.0,2500.0,UPI,Hyderabad
TXN100196,2024-01-09,CUST489,Backpack,Accessories,1.0,65000.0,Cash,Hyderabad
TXN100197,2024-02-17,CUST130,Monitor,Electronics,,500.0,Cash,Mumbai
TXN100198,2024-03-21,CUST54,Books,Education,3.0,1200.0,Cash,Bangalore
TXN100199,invalid_date,CUST90,Office Chair,Furniture,3.0,65000.0,Cash,Delhi
TXN100200,2024-02-28,CUST19,Backpack,Accessories,2.0,500.0,Card,Pune
TXN100201,2024-03-06,CUST204,Mouse,Electronics,1.0,2500.0,Cash,Delhi
TXN100202,2024-01-07,CUST444,Books,Education,2.0,2500.0,Cash,Bangalore
TXN100203,2024-02-26,CUST459,Books,Education,3.0,15000.0,Card,Bangalore
TXN100204,2024-03-07,CUST137,Desk,Furniture,,2500.0,UPI,Delhi
TXN100205,2024-01-14,CUST41,Monitor,Electronics,2.0,65000.0,Card,Bangalore
TXN100206,2024-02-14,CUST229,Notebook,Education,,1200.0,UPI,Bangalore
TXN100207,2024-02-21,CUST187,Wallet,Accessories,1.0,500.0,Cash,Pune
TXN100208,2024-01-31,CUST399,Mouse,Electronics,,500.0,Cash,Bangalore
TXN100209,2024-02-27,CUST486,Notebook,Education,1.0,65000.0,Card,Bangalore
TXN100210,2024-02-10,CUST333,Backpack,Accessories,2.0,65000.0,Card,Pune
TXN100211,2024-03-12,CUST61,Laptop,Electronics,2.0,15000.0,Card,Bangalore
TXN100212,2024-03-03,CUST103,Backpack,Accessories,3.0,,UPI,Pune
TXN100213,2024-01-12,CUST415,Monitor,Electronics,2.0,,Cash,Bangalore
TXN100214,2024-03-31,CUST475,Books,Education,3.0,2500.0,Cash,Pune
TXN100215,2024-01-31,CUST405,Books,Education,1.0,1200.0,Card,Mumbai
TXN100216,2024-01-12,CUST34,Notebook,Education,,65000.0,Card,Delhi
TXN100217,2024-02-10,CUST329,Wallet,Accessories,,65000.0,UPI,Delhi
TXN100218,2024-01-24,CUST394,Wallet,Accessories,2.0,65000.0,UPI,Delhi
TXN100219,2024-02-11,CUST479,Laptop,Electronics,2.0,2500.0,Cash,Pune
TXN100220,2024-03-11,CUST141,Notebook,Education,1.0,2500.0,UPI,Bangalore
TXN100221,2024-01-20,CUST88,Headphones,Electronics,2.0,65000.0,Cash,Hyderabad
TXN100222,2024-03-23,CUST395,Books,Education,1.0,500.0,Cash,Bangalore
TXN100223,2024-03-04,CUST456,Lamp,Furniture,,65000.0,Cash,Hyderabad
TXN100224,2024-03-28,CUST208,Notebook,Education,,1200.0,Card,Delhi
TXN100225,2024-02-29,CUST105,Laptop,Electronics,2.0,15000.0,Card,Hyderabad
TXN100226,2024-02-14,CUST500,Desk,Furniture,3.0,,Card,Pune
TXN100227,2024-02-04,CUST231,Books,Education,3.0,1200.0,UPI,Pune
TXN100228,2024-02-23,CUST128,Laptop,Electronics,3.0,15000.0,UPI,Bangalore
TXN100229,2024-02-29,CUST256,Books,Education,2.0,15000.0,Card,Delhi
TXN100230,2024-01-31,CUST111,Laptop,Electronics,,65000.0,Cash,Bangalore
TXN100231,2024-03-24,CUST345,Laptop,Electronics,3.0,15000.0,Card,Bangalore
TXN100232,2024-02-16,CUST392,Laptop,Electronics,,1200.0,Card,Bangalore
TXN100233,2024-02-16,CUST284,Monitor,Electronics,1.0,65000.0,Card,Mumbai
TXN100234,2024-01-16,CUST66,Wallet,Accessories,3.0,65000.0,UPI,Delhi
TXN100235,2024-03-06,CUST206,Notebook,Education,3.0,1200.0,Cash,Mumbai
TXN100236,2024-03-01,CUST266,Laptop,Electronics,2.0,,Card,Pune
TXN100237,2024-03-19,CUST379,Desk,Furniture,3.0,1200.0,Card,Hyderabad
TXN100238,2024-02-17,CUST170,Notebook,Education,3.0,15000.0,Cash,Mumbai
TXN100239,2024-03-24,CUST401,Wallet,Accessories,1.0,65000.0,Cash,Hyderabad
TXN100240,2024-03-08,CUST323,Lamp,Furniture,1.0,65000.0,Cash,Hyderabad
TXN100241,2024-03-30,CUST57,Backpack,Accessories,2.0,500.0,UPI,Mumbai
TXN100242,2024-01-27,CUST211,Wallet,Accessories,,1200.0,Cash,Hyderabad
TXN100243,2024-02-11,CUST340,Backpack,Accessories,2.0,65000.0,Card,Hyderabad
TXN100244,2024-02-13,CUST280,Wallet,Accessories,2.0,15000.0,Card,Bangalore
TXN100245,2024-01-29,CUST483,Backpack,Accessories,2.0,2500.0,Card,Bangalore
TXN100246,2024-03-12,CUST479,Lamp,Furniture,,2500.0,Cash,Bangalore
TXN100247,2024-01-19,CUST149,Books,Education,,15000.0,UPI,Bangalore
TXN100248,2024-03-02,CUST110,Keyboard,Electronics,,,UPI,Hyderabad
TXN100249,2024-03-16,CUST123,Notebook,Education,2.0,500.0,UPI,Mumbai
TXN100250,2024-02-12,CUST368,Lamp,Furniture,2.0,500.0,Card,Mumbai
TXN100251,2024-03-01,CUST245,Office Chair,Furniture,2.0,15000.0,Cash,Pune
TXN100252,2024-01-12,CUST334,Notebook,Education,3.0,,Cash,Pune
TXN100253,2024-01-05,CUST429,Mouse,Electronics,,1200.0,Card,Delhi
TXN100010,2024-03-13,CUST309,Lamp,Furniture,3.0,500.0,UPI,Bangalore
TXN100255,2024-02-29,CUST140,Notebook,Education,,1200.0,UPI,
TXN100256,2024-01-24,CUST8,Books,Education,,,Cash,Bangalore
TXN100257,2024-02-21,CUST424,Books,Education,2.0,65000.0,Card,Hyderabad
TXN100258,2024-01-18,CUST245,Books,Education,,,Card,Pune
TXN100259,2024-02-04,CUST489,Keyboard,Electronics,,1200.0,Card,Bangalore
TXN100260,2024-03-26,CUST61,Keyboard,Electronics,3.0,,Card,Bangalore
TXN100261,2024-02-07,CUST189,Desk,Furniture,3.0,,Cash,Pune
TXN100262,2024-03-18,CUST192,Office Chair,Furniture,,1200.0,Card,Hyderabad
TXN100263,2024-01-11,CUST270,Backpack,Accessories,2.0,,Card,Hyderabad
TXN100264,2024-03-05,CUST104,Books,Education,1.0,500.0,Cash,Hyderabad
TXN100265,2024-03-28,CUST106,Office Chair,Furniture,3.0,65000.0,Cash,Hyderabad
TXN100266,2024-03-06,CUST213,Backpack,Accessories,,500.0,Card,Hyderabad
TXN100267,2024-01-03,CUST203,Headphones,Electronics,,,Card,Mumbai
TXN100268,2024-03-30,CUST33,Lamp,Furniture,1.0,500.0,Cash,
TXN100269,2024-01-18,CUST393,Monitor,Electronics,1.0,2500.0,Cash,Delhi
TXN100270,2024-03-28,CUST494,Notebook,Education,,15000.0,Cash,Hyderabad
TXN100271,2024-03-09,CUST202,Lamp,Furniture,3.0,500.0,Cash,Pune
TXN100272,2024-03-10,CUST218,Office Chair,Furniture,1.0,2500.0,Cash,Delhi
TXN100273,2024-01-25,CUST480,Office Chair,Furniture,,2500.0,Cash,Mumbai
TXN100274,2024-01-13,CUST305,Monitor,Electronics,1.0,1200.0,UPI,Delhi
TXN100275,2024-03-10,CUST112,Mouse,Electronics,1.0,15000.0,UPI,Pune
TXN100276,2024-03-27,CUST420,Books,Education,3.0,65000.0,Card,Pune
TXN100277,2024-01-08,CUST286,Books,Education,2.0,15000.0,Cash,Pune
TXN100278,2024-03-26,CUST196,Wallet,Accessories,1.0,2500.0,Cash,Bangalore
TXN100279,2024-03-09,CUST243,Wallet,Accessories,2.0,2500.0,UPI,Pune
TXN100280,2024-02-23,CUST286,Books,Education,,500.0,Cash,Pune
TXN100281,2024-01-11,CUST473,Backpack,Accessories,3.0,1200.0,Card,Bangalore
TXN100282,2024-03-27,CUST310,Headphones,Electronics,2.0,500.0,Cash,Mumbai
TXN100283,2024-02-12,CUST156,Mouse,Electronics,2.0,15000.0,UPI,Pune
TXN100284,2024-03-02,CUST469,Lamp,Furniture,1.0,,UPI,Hyderabad
TXN100285,2024-02-06,CUST195,Desk,Furniture,2.0,65000.0,Card,Hyderabad
TXN100286,2024-03-04,CUST239,Notebook,Education,3.0,2500.0,UPI,Delhi
TXN100287,2024-03-13,CUST443,Books,Education,3.0,2500.0,UPI,Pune
TXN100288,2024-02-12,CUST118,Keyboard,Electronics,,2500.0,Card,Hyderabad
TXN100289,2024-03-03,CUST495,Desk,Furniture,3.0,2500.0,Cash,Delhi
TXN100290,2024-03-10,CUST251,Backpack,Accessories,3.0,1200.0,UPI,Hyderabad
TXN100291,2024-03-26,CUST25,Headphones,Electronics,1.0,500.0,UPI,Delhi
TXN100292,2024-01-02,CUST112,Lamp,Furniture,2.0,500.0,Cash,Delhi
TXN100293,2024-01-01,CUST273,Books,Education,,,Cash,Delhi
TXN100294,2024-01-03,CUST258,Laptop,Electronics,3.0,65000.0,Cash,Delhi
TXN100295,2024-01-25,CUST318,Office Chair,Furniture,1.0,65000.0,Cash,Bangalore
TXN100296,2024-02-21,CUST236,Notebook,Education,,500.0,Cash,Pune
TXN100297,2024-03-24,CUST389,Desk,Furniture,1.0,,UPI,Mumbai
TXN100298,2024-03-22,CUST5,Wallet,Accessories,,65000.0,Cash,Pune
TXN100299,2024-03-13,CUST440,Monitor,Electronics,,,UPI,Hyderabad
TXN100300,2024-03-01,CUST139,Mouse,Electronics,2.0,,UPI,Mumbai
TXN100010,2024-01-27,CUST301,Books,Education,2.0,2500.0,UPI,Delhi
TXN100302,2024-02-19,CUST347,Keyboard,Electronics,2.0,65000.0,Cash,Bangalore
TXN100303,2024-02-14,CUST28,Backpack,Accessories,1.0,65000.0,UPI,Delhi
TXN100304,2024-03-17,CUST204,Office Chair,Furniture,3.0,65000.0,Card,Mumbai
TXN100305,2024-02-18,CUST222,Notebook,Education,,1200.0,UPI,Hyderabad
TXN100306,2024-01-11,CUST138,Backpack,Accessories,3.0,1200.0,UPI,Delhi
TXN100307,2024-01-12,CUST3,Lamp,Furniture,,2500.0,Card,Delhi
TXN100308,2024-02-25,CUST230,Notebook,Education,1.0,1200.0,Cash,Hyderabad
TXN100309,2024-01-12,CUST306,Backpack,Accessories,1.0,500.0,Cash,Bangalore
TXN100310,2024-01-11,CUST372,Backpack,Accessories,3.0,15000.0,Cash,Pune
TXN100311,2024-02-08,CUST138,Lamp,Furniture,,1200.0,Card,Pune
TXN100312,2024-03-02,CUST401,Mouse,Electronics,,2500.0,UPI,Bangalore
TXN100313,2024-02-28,CUST55,Books,Education,,65000.0,UPI,Bangalore
TXN100314,2024-02-12,CUST226,Monitor,Electronics,3.0,65000.0,Card,Delhi
TXN100315,2024-01-26,CUST246,Desk,Furniture,3.0,65000.0,Card,Pune
